country_code_3,country_name,year,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,transition_capacity_score
CMR,Cameroon,2025,0.11840395444237775,0.11181858029390729,0.47688378033205625,0.4327914252012924,0.1289001515939996,0.2371861262697763
TCD,Chad,2025,0.1642673325349708,0.14065563937527395,0.40025542784163476,0.11380070772860146,0.070072629363984,0.18386282910977597
CHN,China,2025,0.045786939129105406,0.07375366230650332,0.22349936143039595,0.1763680188727627,0.0440527637622463,0.10764814004023272
COD,Democratic Republic of the Congo,2025,0.00017835758147119525,0.24677601679470318,0.5259259259259259,0.43689419970254884,0.13003145009842296,0.25196262624937454
COG,Republic of the Congo,2025,0.23943231329783166,0.18794841626871522,0.5780332056194125,0.3507359351761629,0.13003145009842296,0.29456693130670714
DJI,Djibouti,2025,0.18082910795729606,0.16372528664036726,0.4482758620689656,0.6451100056413149,0.13342534561169309,0.2925740737511601
DOM,Dominican Republic,2025,0.6050653553137819,0.7462338800839734,0.8406130268199234,0.6307502948869173,0.57123786682354,0.6862456384699921
ERI,Eritrea,2025,0.010115422834866357,0.028767850139571362,0.03346104725415071,0.37124980768244525,0.010113808629544993,0.07361757014123811
GAB,Gabon,2025,0.0002293168904629653,0.2617712875170138,0.7292464878671775,0.5999794861274937,0.20130325587709572,0.33154185997599317
GMB,The Gambia,2025,0.5171605473029786,0.5605232195999722,0.0005619412515964241,0.7363967382942715,0.5904699413987374,0.4685633319300083
GEO,Georgia,2025,0.30058348408795577,0.0002999054144462131,0.5637292464878672,0.6040822606287503,0.3110392108061633,0.3252349173884109
GNB,Guinea-Bissau,2025,0.16299334981017655,0.1487300159180566,0.0005415070242656449,0.4184317144468947,0.10740548000995544,0.15691472200543893
JAM,Jamaica,2025,0.6674905088287002,0.8004475511569427,0.7936143039591316,0.913841735473614,0.7680838065932077,0.7779962070982603
KAZ,Kazakhstan,2025,0.13623971258949727,0.21332502826031788,0.42681992337164754,0.4020206164418688,0.148132226169197,0.25527809627844317
KGZ,Kyrgyzstan,2025,0.20758274517797534,0.16833921609338592,0.3818646232439336,0.5979280988768655,0.20130325587709572,0.2902381181797212
LAO,Laos,2025,0.15025352256223404,0.0,0.23371647509578547,0.4040720036924971,5.656492522116887e-05,0.14492596095237334
LBY,Libya,2025,0.11076005809361224,0.30098968786767244,0.6444444444444445,0.38253243756090055,0.11079937552322557,0.305826097341829
MDG,Madagascar,2025,0.276377812316865,0.20409716935428054,0.7006385696040869,0.5774142263705832,0.21148494241690613,0.37858133465672716
MDA,Moldova,2025,0.49550284098147623,0.509769995616767,0.8038314176245211,0.913841735473614,0.507885150575831,0.6253435255818818
NAM,Namibia,2025,0.4445435319897062,0.5351466076083695,0.6812260536398468,0.6963946869070209,0.5870760458854674,0.5736883555463614
PSE,Palestine/West Bank,2025,0.00011465844523148264,0.08413500357579531,0.0002656449553001278,0.32201651366736755,0.1289001515939996,0.08875304428552179
RWA,Rwanda,2025,8.917879073559761e-05,0.20986458117055387,0.41047254150702434,0.3845838248115288,3.393895513270131e-05,0.19227561285672648
