country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
MAR,10.16416086080643,19.732437590905977,0.515099100857704,100.0,21.32,1.81,39.5,30.1,1.558,3.018
MCO,,,,100.0,9.58,,,,,
MDA,26.85685361914666,30.274158293549096,0.887121397686204,100.0,14.76,1.76,46.1,53.3,,
MDG,4.175071905238048,12.921324437184015,0.323114857577861,39.4,12.75,0.14,30.1,26.4,,
MDV,14.1016539711307,46.651350910620195,0.302277505278426,100.0,12.01,4.37,38.1,12.0,1.566,2.964
MEA,-2.1484223560951623,-2.8752094526617897,0.747222903745747,96.42,39.72,,,,,
MEX,0.5114233879706894,1.450513739201536,0.352580864385478,99.7,14.99,3.52,44.2,31.7,1.457,3.32
MHL,0.0057215690024923,12.484045201642871,0.0004583105003288,100.0,10.73,4.11,42.5,12.6,,
MKD,12.816671630694124,21.240334242100133,0.603411955979977,100.0,26.12,3.63,50.3,53.0,,
MLI,1.985393458557575,5.965081840606008,0.332835912668027,54.5,56.78,0.29,34.5,51.0,,
MLT,2.140881419595367,23.34922480511342,0.0916896144289347,100.0,11.72,3.2,66.9,67.1,,
MMR,-1.6575939606132108,-3.3369432862574517,0.496740225535054,76.8,32.32,0.58,27.1,23.0,1.488,1.898
MNA,3.2597469028231396,3.585720215717908,0.909091258301227,96.09,39.19,,,,,
MNE,,,,100.0,17.98,3.72,47.7,42.1,,
MNG,-29.969304104696697,-17.67145823324453,1.69591573650197,100.0,29.65,12.86,37.2,64.2,1.517,2.696
MNP,,,,100.0,9.71,,,,,
MOZ,2.148809938487001,4.4565088213129345,0.482173383840389,36.0,20.08,0.25,39.0,57.1,,
MRT,3.57270550196941,6.2228725287246025,0.574124808997437,50.3,70.82,1.01,34.6,36.2,,
MSR,,,,,,6.02,,,,
MUS,8.867837614581031,29.927994753017977,0.296305772831198,100.0,9.15,3.68,47.3,13.4,,
MWI,8.442980806794457,21.04655933364998,0.401157294783833,15.6,23.7,0.09,35.1,68.1,,
MYS,-4.989984352068904,-7.124641614798991,0.700383910076814,100.0,16.19,8.16,41.0,28.0,1.444,2.518
NAM,5.22000194957411,17.4838323383311,0.298561656767316,56.7,19.99,1.14,44.0,69.5,,
NCL,,,,100.0,,18.06,,,,
NER,1.0154009120842158,5.082497354768354,0.199783854512305,20.1,85.12,0.12,40.0,69.9,,
NGA,-1.5660278712672728,-6.42150568037023,0.243872379659249,61.2,56.53,0.58,37.9,47.1,1.59,2.69
NIC,7.259283500613411,20.0365766868659,0.362301585448572,88.3,16.81,0.81,47.4,65.5,1.41,2.936
NIR,,,,,,,,,1.362,3.157
NIU,,,,,,4.14,,,,
NLD,-1.1262440615332174,-8.730767004722457,0.128997150069866,100.0,10.89,6.3,66.9,60.5,1.277,2.855
NOR,-1.2690480746060846,-14.08437898105711,0.090103232546703,100.0,6.06,6.67,69.9,71.6,,
NPL,11.644305312317549,25.63250042272381,0.454278947441062,94.0,45.72,0.63,33.1,54.2,,
NRU,0.0,18.085365971399018,0.0,100.0,6.06,5.13,,,,
NZL,0.2493215387975723,1.7572515659278882,0.141881528878264,100.0,6.49,6.23,57.3,38.5,1.293,2.438
OMN,-19.657724353148907,-18.28267367064296,1.07521059049005,100.0,39.58,15.65,51.3,56.2,,
OSS,4.599725601895874,16.132787610996722,0.285116603082317,94.5,16.76,,,,,
PAK,3.212255485149006,6.467654857718115,0.496664642102182,95.6,43.0,0.72,25.5,25.3,1.574,2.311
PAN,2.503936866694033,15.657242489021614,0.1599219574232,97.0,11.47,2.8,52.9,56.6,,
PER,-1.864656504574344,-6.182102991042089,0.301621714694214,96.2,27.04,2.05,46.5,48.6,1.413,3.447
PHL,5.134321776129367,13.408936768707903,0.382902974687091,98.0,20.29,1.51,32.1,24.6,1.324,1.881
