country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg,score_distributional,score_spatial,score_institutional,score_scale
IRQ,-6.021930064403291,-4.856221902233667,1.24004425366836,100.0,38.18,5.07,30.3,20.0,1.597,3.274,0.12178554099951477,0.39302263602678844,0.20305459125088632,0.4365085496768194
ISL,1.2333929941719823,8.585651274311585,0.143657476266514,100.0,5.11,9.67,64.3,54.8,,2.667892307692308,0.2333818534691896,0.3766925437804658,0.028696182200245834,0.2992588811920187
ISR,0.7483022917930878,5.416189397205019,0.138160288888576,100.0,18.6,5.61,48.0,29.6,,2.667892307692308,0.1348859776807375,0.5188748183873657,0.03466549695098675,0.29653099362991664
ITA,-0.3664105639438355,-2.4901649444509992,0.147143089762119,100.0,14.66,5.09,60.3,58.5,,2.667892307692308,0.12227074235807855,0.21207842226979245,0.048382667492411935,0.2775170971485158
JAM,12.687808765855364,27.19980718958519,0.466466864173711,97.7,17.41,2.96,48.5,38.2,,2.667892307692308,0.046283901265113836,0.42779769427178693,0.1122568657384535,0.24986674808237763
JOR,13.291622209930097,25.54716978023958,0.520277679455945,100.0,28.77,2.01,47.3,32.8,1.488,2.811,0.047549733139252814,0.35268958639603165,0.19548569664267867,0.22556736165176072
JPN,0.1913052075918732,0.9062863724956812,0.211086929471385,100.0,12.84,7.77,61.4,47.4,1.627,2.609,0.18728772440562835,0.3714655387339987,0.07271261987794464,0.24667549536492972
KAZ,-8.56577117733789,-8.092060780389538,1.05854014321004,100.0,20.03,13.94,47.8,50.2,1.543,2.113,0.3369723435225618,0.2473542585476146,0.4431852493984962,0.3607876992378386
KEN,1.962322506360945,9.518975531598532,0.206148497792326,76.2,24.39,0.38,36.9,43.8,1.535,2.573,0.24357980126234413,0.2718214565118337,0.06998704952907842,0.2713808181321268
KGZ,51.29474757203559,47.97960531245391,1.06909482139323,100.0,24.38,1.64,42.8,37.0,1.351,2.529,0.03857350800582238,0.3556899560690859,0.5137711864406779,0.36960616710924177
KHM,2.219940066719808,4.396728407917951,0.50490725393044,95.0,24.14,1.24,31.2,56.9,,2.667892307692308,0.0239846417870182,0.11360783706875044,0.01655616392411674,0.0983872681184399
KIR,29.312447533518306,101.01910844404108,0.290167355315314,95.9,11.26,0.54,44.3,30.5,,2.667892307692308,0.03145294726486958,0.5992894540014958,0.31683242436055625,0.5583976536971536
KNA,4.2005037791733395,31.593311204011098,0.132955477570836,100.0,8.59,5.54,,47.477777777777774,,2.667892307692308,0.13318777292576423,0.4234869912338769,0.007815789868344858,0.34208130752748955
KOR,2.027031470861436,,0.42193568597923525,100.0,25.94,11.29,50.6,32.8,1.427,2.523,0.2726831635128577,0.38796757193579723,0.09567382006358893,0.14493776482582432
