Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
2005,595,Malawi Mozambique,7,0,0,1,16.0,0.953202971529383,56.8405148134576,0.9064268262011564
2009,598,Malaysia New Zealand,62,1,0,0,20.0,0.0,57.2805642254708,0.0001451393272574
2007,599,Malaysia Pakistan,18,0,0,1,13.0,,53.2427494693862,0.0001367382039765
1973,600,Mano River Union,0,0,0,1,4.0,0.295264623955432,,
1986,601,Mauritania Morocco,0,0,0,1,3.0,0.0,,2.3541453545694107
2007,602,Mauritius Pakistan,6,0,0,1,20.0,,40.8530659465982,0.0001367382039765
1993,603,Melanesian Spearhead Group (MSG ),2,0,0,1,18.0,,42.6486641860075,
1991,604,MERCOSUR,3,0,0,1,20.0,0.995433789954338,37.1042906050948,0.0105388322330828
2002,605,MERCOSUR Mexico Auto Agreement,2,0,0,1,20.0,0.998528173179852,51.7609698954234,0.0084593965833264
2005,606,MERCOSUR Peru,10,0,0,1,20.0,0.995533812648633,51.8450333124928,0.0076955811830175
1997,607,MERCOSUR services,1,0,0,1,20.0,1.0,45.8214509012334,0.0105714233186042
2004,608,MERCOSUR Southern African Customs Union (SACU),5,0,0,1,20.0,,53.6879801385591,0.0079515519529029
1985,610,Mexico Nicaragua,1,0,0,1,9.0,,,0.0279891424517774
1997,611,Mexico Nicaragua,37,0,0,1,18.0,0.818461538461538,50.775676952915,0.0292344656251765
2000,612,Mexico Northern Triangle,44,0,0,1,18.0,1.0,49.2333455815,0.0283878353472166
1985,613,Mexico Panama,1,0,0,1,7.0,0.0,,0.0279891424517774
1986,615,Mexico Uruguay,1,0,0,1,19.0,0.0,,0.029237125273156
2004,616,Mexico Uruguay,21,0,0,1,20.0,0.991557459047719,41.6772880009713,0.0216687723262549
1994,617,Moldova Romania,4,0,0,1,17.0,0.978833247289623,35.0083229922084,3.426800747138486
2003,619,Moldova Serbia,5,0,0,1,18.0,,37.2164719096425,0.1311123665875877
2003,621,Moldova Ukraine,5,0,0,1,18.0,0.995544837151577,39.6741152811272,0.0329969594442969
2008,624,Montenegro Turkey,6,0,0,1,19.0,0.25620971829966,47.2745447265948,0.0034380927825535
1999,625,Morocco Tunisia,1,0,0,1,7.0,0.848130841121495,42.0733110582512,2.57710075464944
