country_code_3,exports,imports,gdp,leakage_index,carbon_intensity,carbon_leakage_risk_score
NZL,42289000000.0,46862000000.0,260235932558.996,1.7572515659278882,0.141881528878264,0.2493215387975723
OMN,63016000000.0,43464000000.0,106942782834.85,-18.28267367064296,1.07521059049005,-19.657724353148907
OSS,63510099307.4792,96709831699.7653,205790426259.972,16.132787610996722,0.285116603082317,4.599725601895874
PAK,32320000000.0,56449000000.0,373071855731.539,6.467654857718115,0.496664642102182,3.212255485149006
PAN,13181000000.0,26687000000.0,86260400000.0,15.657242489021614,0.1599219574232,2.503936866694033
PER,73029000000.0,55149000000.0,289221969059.853,-6.182102991042089,0.301621714694214,-1.864656504574344
PHL,72984000000.0,134882000000.0,461617509782.355,13.408936768707905,0.382902974687091,5.134321776129367
PNG,13396000000.0,4686000000.0,32538480023.9998,-26.76830630556701,0.201567125832725,-5.395610565423151
POL,380064000000.0,379314000000.0,914696430325.391,-0.08199441641345398,0.419493025618004,-0.03439608582506234
PRE,363265486073.054,353104354195.708,1426898998276.72,-0.7121129028486044,0.391315518098623,-0.27866082952291604
PRT,85737000000.0,116295000000.0,308683317392.68,9.899465982843115,0.146805724037993,1.4532982712007654
PRY,10880000000.0,17210000000.0,44458118399.6669,14.2381194433263,0.174404717606699,2.483195200763774
PSS,2063285853.59477,6151000000.0,11977251413.7163,34.12898339700874,0.257021747174867,8.771890942001212
PST,13048097000000.0,14305676000000.0,63040640005163.5,1.9948702930315982,0.188224846421969,0.37548415453762085
QAT,94286000000.0,35802000000.0,217982967032.967,-26.829619211098766,0.761489107417029,-20.430462785398372
ROU,100310000000.0,136419000000.0,382767571329.158,9.433662280901101,0.298601691157225,2.8169075108831936
RUS,433092000000.0,300124000000.0,2173835806671.66,-6.116745321422693,1.24610691597266,-7.622118648268229
RWA,3201000000.0,6028000000.0,14251642231.4932,19.83631046920972,0.151458533594518,3.0043784955920896
SAU,305499000000.0,232806000000.0,1237529866666.67,-5.874040050104095,0.740469425309961,-4.349547060148273
SDN,3134000000.0,4911000000.0,49909807029.6996,3.560422501618908,0.749432835940625,2.668297532535073
SEN,6405000000.0,11807000000.0,32267254425.052,16.741430581109302,0.507714282090031,8.499863408648
SGP,505658000000.0,458686000000.0,547386645891.847,-8.581137364699385,0.144024511421476,-1.235894116391401
SLB,507000000.0,739000000.0,1760767447.17461,13.176072761469747,0.212530746255254,2.8003205767086907
SLE,1535000000.0,2049000000.0,7547843281.27425,6.809892320832938,0.148730948592736,1.0128417446918714
SLV,6448000000.0,15973000000.0,35364960000.0,26.933439200836084,0.328380168626884,8.844407306472482
SOM,1107000000.0,4017000000.0,12108515109.9996,24.032674308651018,0.0974060595153926,2.340928104022508
SST,96968170740.8955,130802673172.801,309361541400.629,10.936880608598075,0.336049824744221,3.6753368117678527
STP,29000000.0,153000000.0,764274042.735043,16.22454683352213,0.458344006019469,7.436423791527024
SUR,1411000000.0,1752000000.0,4714267822.2233,7.233360786006017,0.560443681866247,4.0538913511761425
SVK,115634000000.0,112968000000.0,141775733420.114,-1.880434638345358,0.278775679895453,-0.5242194448036874
SVN,79063000000.0,84332000000.0,72485008929.2766,7.269089261120112,0.239778530867696,1.7429715437775264
SWE,195790000000.0,189158000000.0,610117791237.089,-1.0870032140109869,0.0659254736355167,-0.07166120172700323
